"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000043421",2.21038126941566,7.1104819911879,29.5793021669377,0.000119224982684787,0.000703796936938287,"Hilpda","hypoxia inducible lipid droplet associated","69573"
"ENSMUSG00000027715",1.5938378200497,4.99296425568715,29.6251708656818,0.000119525627308085,0.000705341544320019,"Ccna2","cyclin A2","12428"
"ENSMUSG00000062078",-2.32705926125896,9.25550057473347,29.5519788726022,0.000119727550464925,0.000706302761839544,"Qki","quaking, KH domain containing RNA binding","19317"
"ENSMUSG00000031629",2.01895312937352,2.30436118530856,29.6449009682424,0.000119784271098194,0.000706359149255143,"Cenpu","centromere protein U","71876"
"ENSMUSG00000017418",-1.76246315768808,3.58208217136965,29.5510250572873,0.000119815189800698,0.000706359149255143,"Arl5b","ADP-ribosylation factor-like 5B","75869"
"ENSMUSG00000058297",-4.83688968050202,3.35341730773525,29.6031964816207,0.000120247660626409,0.000708677825313885,"Spock2","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2","94214"
"ENSMUSG00000032816",-4.02434386537488,3.13496433337846,29.5388769302192,0.000120325697844297,0.00070890682223929,"Igdcc4","immunoglobulin superfamily, DCC subclass, member 4","56741"
"ENSMUSG00000025287",1.55138685912829,6.55318325313422,29.5092235092373,0.000120528390917852,0.00070983055766209,"Acot9","acyl-CoA thioesterase 9","56360"
"ENSMUSG00000037960",1.66903813030285,7.32736364865773,29.5070691345528,0.000120567044606724,0.00070983055766209,"Card19","caspase recruitment domain family, member 19","68480"
"ENSMUSG00000044156",-8.4600387121813,0.205300148682857,34.2926661502908,0.000120600184284158,0.00070983055766209,"Hepacam2","HEPACAM family member 2","101202"
"ENSMUSG00000050395",3.84935923178965,0.360602082471478,28.7438019424909,0.000120855002200998,0.000710894781597257,"Tnfsf15","tumor necrosis factor (ligand) superfamily, member 15","326623"
"ENSMUSG00000026869",1.61267990176455,6.70421278452779,29.4906928477768,0.000120874941972698,0.000710894781597257,"Psmd5","proteasome (prosome, macropain) 26S subunit, non-ATPase, 5","66998"
"ENSMUSG00000015665",8.05753141360336,-0.669662548165436,42.4978748676195,0.000120898869340339,0.000710894781597257,"Awat1","acyl-CoA wax alcohol acyltransferase 1","245533"
"ENSMUSG00000030745",-1.83204252245264,5.64428564058038,29.4867725129151,0.000120954162131409,0.000710988841924491,"Il21r","interleukin 21 receptor","60504"
"ENSMUSG00000073295",-2.93405169254395,1.27487221159772,29.3087431645739,0.000121017563865922,0.000711130491401797,"Nudt11","nudix hydrolase 11","58242"
"ENSMUSG00000117541",-7.20915662447608,-0.521833829454742,34.3314793624026,0.000121176268270572,0.000711636857843342,"A830021F12Rik","RIKEN cDNA A830021F12 gene","442838"
"ENSMUSG00000027210",-2.7894811400509,3.02942336199315,29.5412218270441,0.000121182399768714,0.000711636857843342,"Meis2","Meis homeobox 2","17536"
"ENSMUSG00000092526",-2.64057731544895,1.70806282912445,29.5480720063467,0.000121628952497574,0.000714027461887934,"Gm17907","peroxiredoxin 3 pseudogene","100416076"
"ENSMUSG00000004446",1.34449604639779,5.8771599413869,29.440688607208,0.00012182066132768,0.000714920929419953,"Bid","BH3 interacting domain death agonist","12122"
"ENSMUSG00000108776",-7.8306474008073,-0.183615169780555,34.219290254477,0.000121904502041656,0.000715180984254111,NA,NA,NA
"ENSMUSG00000062997",1.05322678182176,6.67441952578383,29.4161977269236,0.00012228668679046,0.000717060445975233,"Rpl35","ribosomal protein L35","66489"
"ENSMUSG00000037313",1.28005999356632,5.3641805800353,29.4168520975426,0.000122304125146718,0.000717060445975233,"Tacc3","transforming, acidic coiled-coil containing protein 3","21335"
"ENSMUSG00000053964",-3.09352752481196,1.72301200028514,28.4692694081953,0.000122721392572776,0.000719273779014977,"Lgals4","lectin, galactose binding, soluble 4","16855"
"ENSMUSG00000053801",1.35468476910933,4.92285555820361,29.388547377436,0.000122826039422908,0.00071953484537085,"Grwd1","glutamate-rich WD repeat containing 1","101612"
"ENSMUSG00000116957",-4.33889287035413,0.209374256636779,25.5576212947037,0.000122845472688363,0.00071953484537085,NA,NA,NA
"ENSMUSG00000042333",-2.65237630629704,1.13573353935264,29.1318112773052,0.00012352028390241,0.000723253235160617,"Tnfrsf14","tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)","230979"
"ENSMUSG00000001281",-2.42648158516727,4.37634515649383,29.347590458222,0.00012379181126775,0.000724608618980071,"Itgb7","integrin beta 7","16421"
"ENSMUSG00000029198",1.2643662057296,7.20089431984006,29.3297268998128,0.00012394902890276,0.000725294236719806,"Grpel1","GrpE-like 1, mitochondrial","17713"
"ENSMUSG00000111264",-7.37052236325921,-0.253180887184807,34.0425168793306,0.000124032280626156,0.000725546735651162,NA,NA,NA
"ENSMUSG00000093327",-4.78102047337046,-1.18932919170305,27.3495168727461,0.000124161754264474,0.000726069366485821,"Mir5107","microRNA 5107","100628611"
"ENSMUSG00000021097",-4.13649745038944,4.89244513758763,29.3605453398325,0.000124385274613022,0.000727141445419517,"Clmn","calmin","94040"
"ENSMUSG00000087172",7.85180374518402,-0.655600302204246,32.3173035204501,0.000124688435025217,0.000728678247710352,"Gm12153","predicted gene 12153","102638460"
"ENSMUSG00000031779",-3.42571473193616,2.30375037675362,29.4237596757655,0.00012482973482838,0.000729268450839485,"Ccl22","C-C motif chemokine ligand 22","20299"
"ENSMUSG00000026683",1.35500441289468,4.23755046602285,29.3556333544637,0.000124953711739996,0.000729321439424942,"Nuf2","NUF2, NDC80 kinetochore complex component","66977"
"ENSMUSG00000087612",-3.63827079609207,0.215825792561821,25.135971742564,0.000124966701951133,0.000729321439424942,NA,NA,NA
"ENSMUSG00000112822",-2.72709942992864,0.803617595118319,28.6637136612179,0.000125019310437135,0.000729321439424942,NA,NA,NA
"ENSMUSG00000020097",1.4426368888808,7.36457921241529,29.2746478148346,0.000125021688630754,0.000729321439424942,"Sgpl1","sphingosine phosphate lyase 1","20397"
"ENSMUSG00000003863",2.64968004582178,1.73051205499482,29.372740150422,0.000125040352904226,0.000729321439424942,"Ppfia3","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3","76787"
"ENSMUSG00000120563",-8.26371362465504,0.751794481112058,33.8191186641867,0.000125097245536416,0.000729418131965958,NA,NA,NA
"ENSMUSG00000086189",-7.42633828083776,0.684116368425218,33.8566040528473,0.0001252133392391,0.000729859841125334,"Gm15462","predicted gene 15462","108168861"
"ENSMUSG00000019944",-2.07426281748956,2.68425053595146,29.2992409197248,0.000125380211789779,0.000730557176750911,"Rhobtb1","Rho-related BTB domain containing 1","69288"
"ENSMUSG00000033544",-4.65396007153585,0.815591887124156,25.4119421210715,0.000125413728568415,0.000730557176750911,"Angptl1","angiopoietin-like 1","72713"
"ENSMUSG00000003484",-2.51298120273963,5.67669238632672,29.2393805351292,0.000125829988639083,0.000732746052284173,"Cyp4f18","cytochrome P450, family 4, subfamily f, polypeptide 18","72054"
