"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000041153",0.127691844413504,4.86106124183964,0.285218120715643,0.602442189858707,0.776173406837871,"Osgin2","oxidative stress induced growth inhibitor family member 2","209212"
"ENSMUSG00000038861",0.161908528902975,2.23028608340074,0.285171622453189,0.602474953055384,0.776173406837871,"Pi4kb","phosphatidylinositol 4-kinase beta","107650"
"ENSMUSG00000049957",0.146096682229899,4.02320003033514,0.285073925445177,0.602533189324377,0.776193164431894,"Ccdc137","coiled-coil domain containing 137","67291"
"ENSMUSG00000003848",-0.105945025514949,4.77280212079224,0.284901410716312,0.602641558392999,0.776277496511784,"Nob1","NIN1/RPN12 binding protein 1 homolog","67619"
"ENSMUSG00000109984",-0.434598198550324,-0.707194733975408,0.2835078026253,0.602771456331345,0.77636018860165,NA,NA,NA
"ENSMUSG00000029484",0.185971656738646,9.09360171381327,0.284662900107297,0.602791572955064,0.77636018860165,"Anxa3","annexin A3","11745"
"ENSMUSG00000023832",-0.118918030355285,5.58496592362903,0.284191843391149,0.603088597406166,0.776687450556607,"Acat2","acetyl-Coenzyme A acetyltransferase 2","110460"
"ENSMUSG00000078201",-0.137348859393052,2.7912475235996,0.2839635388284,0.603234732541763,0.776806242457916,"Tmem203","transmembrane protein 203","227615"
"ENSMUSG00000038542",0.140249503295747,4.63440109729108,0.283879558864926,0.603285840724951,0.776806242457916,"Pcid2","PCI domain containing 2","234069"
"ENSMUSG00000031174",0.189318337579226,2.06625192603294,0.28384872045365,0.6033096401381,0.776806242457916,"Rpgr","retinitis pigmentosa GTPase regulator","19893"
"ENSMUSG00000030298",0.151276150176293,8.01630307254185,0.283713725329045,0.603390249002793,0.77684982842744,"Sec13","SEC13 homolog, nuclear pore and COPII coat complex component","110379"
"ENSMUSG00000039563",-0.285727116804742,-1.01118846985563,0.282331646276104,0.603482714480317,0.77684982842744,"2210406O10Rik","RIKEN cDNA 2210406O10 gene","76710"
"ENSMUSG00000033075",0.133906145981184,3.90285962354054,0.283358260359546,0.603615292516213,0.77684982842744,"Senp1","SUMO1/sentrin specific peptidase 1","223870"
"ENSMUSG00000037740",-0.106688263105925,5.7316421312226,0.28335506614435,0.603616815166715,0.77684982842744,"Mrps26","mitochondrial ribosomal protein S26","99045"
"ENSMUSG00000114507",-0.383367315006334,-1.23751215794205,0.286124138649423,0.603620892707954,0.77684982842744,"Gm30747","predicted gene, 30747","102632758"
